"Postal code area","Inhabitants, total, 2018 (HE)","Males, 2018 (HE)","Females, 2018 (HE)"
"00100  Helsinki Keskusta - Etu-Töölö (Helsinki)",18427,8673,9754
"00120  Punavuori (Helsinki)",7161,3368,3793
"00130  Kaartinkaupunki (Helsinki)",1523,735,788
"00140  Kaivopuisto - Ullanlinna (Helsinki)",7921,3586,4335
"00150  Eira - Hernesaari (Helsinki)",9385,4324,5061
"00160  Katajanokka (Helsinki)",4577,2135,2442
"00170  Kruununhaka (Helsinki)",7495,3482,4013
"00180  Kamppi - Ruoholahti (Helsinki)",14020,6741,7279
"00190  Suomenlinna (Helsinki)",707,347,360
"00200  Lauttasaari (Helsinki)",15817,7260,8557
"00210  Vattuniemi (Helsinki)",8509,3949,4560
"00220  Jätkäsaari (Helsinki)",6901,3271,3630
"00230  Ilmala (Helsinki)",0,0,0
"00240  Länsi-Pasila (Helsinki)",5563,2542,3021
"00250  Taka-Töölö (Helsinki)",11359,5081,6278
"00260  Keski-Töölö (Helsinki)",5480,2500,2980
"00270  Pohjois-Meilahti (Helsinki)",7775,3389,4386
"00280  Ruskeasuo (Helsinki)",2990,1331,1659
"00290  Meilahden sairaala-alue (Helsinki)",148,56,92
"00300  Pikku Huopalahti (Helsinki)",5799,2575,3224
"00310  Kivihaka (Helsinki)",913,392,521
"00320  Etelä-Haaga (Helsinki)",10199,4571,5628
"00330  Munkkiniemi (Helsinki)",8818,3840,4978
"00340  Kuusisaari-Lehtisaari (Helsinki)",1767,879,888
"00350  Munkkivuori-Niemenmäki (Helsinki)",9280,4203,5077
"00360  Pajamäki (Helsinki)",1868,879,989
"00370  Reimarla (Helsinki)",6544,3178,3366
"00380  Pitäjänmäen teollisuusalue (Helsinki)",4547,2229,2318
"00390  Konala (Helsinki)",6510,3213,3297
"00400  Pohjois-Haaga (Helsinki)",9621,4499,5122
"00410  Malminkartano (Helsinki)",9037,4348,4689
"00420  Kannelmäki (Helsinki)",13691,6482,7209
"00430  Maununneva (Helsinki)",5834,2832,3002
"00440  Lassila (Helsinki)",4797,2192,2605
"00500  Sörnäinen (Helsinki)",12436,6197,6239
"00510  Etu-Vallila - Alppila (Helsinki)",9783,4710,5073
"00520  Itä-Pasila (Helsinki)",7276,3647,3629
"00530  Kallio (Helsinki)",18644,8789,9855
"00540  Kalasatama (Helsinki)",2910,1388,1522
"00550  Vallila (Helsinki)",9189,4309,4880
"00560  Toukola-Vanhakaupunki (Helsinki)",13807,6407,7400
"00570  Kulosaari (Helsinki)",4004,1846,2158
