Etunimi,Lukumäärä
Juhani,"286,443"
Olavi,"143,477"
Antero,"138,738"
Tapani,"136,394"
Johannes,"134,907"
Tapio,"115,930"
Mikael,"103,964"
Kalevi,"95,878"
Matti,"80,707"
Pekka,"78,887"
Petteri,"73,457"
Ilmari,"70,584"
Sakari,"64,946"
Matias,"64,009"
Antti,"55,889"
Juha,"54,144"
Kristian,"53,251"
Heikki,"51,958"
Timo,"49,122"
Mikko,"45,400"
Kari,"45,031"
Markus,"43,438"
Jari,"40,593"
Jukka,"40,244"
Aleksi,"40,032"
Markku,"38,902"
Kalervo,"38,561"
Jaakko,"38,194"
Oskari,"37,386"
Petri,"36,947"
Mika,"36,540"
Henrik,"35,676"
Lauri,"35,373"
Veikko,"34,480"
Hannu,"34,212"
Erkki,"33,705"
Ville,"33,249"
Seppo,"32,992"
Valtteri,"30,425"
Janne,"29,995"
Ari,"29,851"
Ensio,"29,689"
Marko,"29,617"
Tuomas,"28,148"
Pentti,"27,758"
Sami,"27,744"
Juho,"26,690"
Elias,"25,918"
Eero,"25,620"
Erik,"25,043"
Martti,"24,854"
Jani,"24,126"
Samuli,"23,521"
Jorma,"23,172"
Eemeli,"23,158"
Onni,"22,802"
Jussi,"22,450"
Harri,"22,082"
Teemu,"21,757"
Risto,"21,315"
Eino,"20,671"
Jarmo,"20,376"
Veli,"20,344"
Raimo,"20,332"
Samuel,"19,889"
Esa,"19,869"
Pertti,"19,771"
Pasi,"19,274"
Jouni,"19,079"
Arto,"18,843"
Esko,"18,756"
Niko,"18,554"
Olli,"18,378"
Vesa,"18,214"
Joonas,"18,202"
Kalle,"18,011"
Viljami,"18,004"
Jouko,"17,934"
Toni,"17,576"
Reijo,"17,561"
Toivo,"17,429"
Paavo,"17,357"
Emil,"17,254"
Armas,"16,846"
Leo,"16,683"
Johan,"16,614"
Santeri,"16,517"
Oliver,"16,469"
Kimmo,"16,105"
Tomi,"16,105"
Henri,"15,565"
Väinö,"15,434"
Joni,"15,343"
Eetu,"15,151"
Tommi,"15,045"
Tero,"14,975"
Daniel,"14,710"
Ilkka,"14,404"
Sebastian,"14,152"
Pauli,"14,110"
Otto,"14,018"
Alexander,"13,957"
Ilari,"13,678"
Eemil,"13,194"
Anton,"13,161"
Uolevi,"12,942"
Aleksanteri,"12,896"
Tuomo,"12,665"
Jarkko,"12,543"
Jalmari,"12,433"
Jesse,"12,316"
Aulis,"12,190"
Joona,"12,134"
Akseli,"11,567"
Vilho,"10,965"
Benjamin,"10,910"
Arttu,"10,889"
Jere,"10,780"
Simo,"10,687"
Juuso,"10,645"
Julius,"10,581"
Allan,"10,525"
Joel,"10,490"
Einari,"10,410"
Christian,"10,318"
Niilo,"10,225"
Lasse,"10,178"
Kullervo,"10,144"
Keijo,"10,141"
Leevi,"10,138"
Niklas,"9,916"
Jyrki,"9,911"
Reino,"9,707"
Aukusti,"9,640"
Jan,"9,556"
Mauri,"9,555"
Kauko,"9,487"
Kaarlo,"9,467"
Elmeri,"9,220"
Kai,"9,108"
Aarne,"8,938"
Artturi,"8,886"
Aki,"8,865"
Juhana,"8,848"
Miika,"8,776"
Riku,"8,548"
Rasmus,"8,538"
Yrjö,"8,384"
Veeti,"8,352"
Karl,"8,307"
Topias,"8,150"
Peter,"8,080"
Hermanni,"8,059"
Jarno,"7,928"
Aatos,"7,819"
Eerik,"7,734"
Tauno,"7,699"
Joonatan,"7,691"
Aaro,"7,661"
Rauno,"7,598"
Teuvo,"7,562"
Ossi,"7,376"
Vilhelm,"7,371"
Patrik,"7,174"
Robert,"7,141"
Viljo,"7,136"
Arvo,"7,093"
Valdemar,"6,949"
Anssi,"6,874"
Osmo,"6,855"
Ismo,"6,847"
Veijo,"6,845"
Roope,"6,842"
Taisto,"6,807"
Eelis,"6,753"
Rainer,"6,753"
Atte,"6,668"
Anders,"6,649"
Henry,"6,646"
Aaron,"6,468"
Aapo,"6,318"
Miro,"6,295"
Asko,"6,246"
Aimo,"6,211"
Henrikki,"6,110"
Taneli,"6,108"
Kasper,"6,063"
Samu,"6,040"
Oskar,"5,915"
Oiva,"5,894"
Edvard,"5,793"
Lassi,"5,777"
Verneri,"5,749"
Alex,"5,720"
Iisakki,"5,670"
Tuukka,"5,662"
Kim,"5,548"
Ahti,"5,513"
Rafael,"5,421"
Mauno,"5,409"
Andreas,"5,408"
Aarre,"5,371"
Vihtori,"5,348"
Kasperi,"5,307"
Topi,"5,286"
Lars,"5,283"
Vili,"5,253"
August,"5,237"
Wilhelm,"5,209"
Kustaa,"5,200"
Urho,"5,124"
Aatu,"5,122"
Albert,"5,082"
Fredrik,"5,036"
Konsta,"5,036"
Miikka,"5,034"
Jimi,"4,984"
Tarmo,"4,952"
Sulo,"4,883"
Eeli,"4,842"
Max,"4,797"
Alpo,"4,796"
Nikolai,"4,794"
Roni,"4,781"
Joakim,"4,753"
Alvar,"4,690"
Tatu,"4,653"
Herman,"4,640"
Veikka,"4,594"
Ilpo,"4,557"
Unto,"4,556"
Michael,"4,555"
William,"4,511"
Sauli,"4,506"
Hugo,"4,492"
Jyri,"4,491"
Iivari,"4,471"
Carl,"4,427"
Saku,"4,354"
Gustav,"4,345"
Kaj,"4,316"
Severi,"4,311"
Kyösti,"4,292"
Tom,"4,273"
Gunnar,"4,201"
Veli-Matti,"4,028"
Rikhard,"4,023"
Otso,"3,972"
Lenni,"3,883"
Iiro,"3,875"
Thomas,"3,827"
Martin,"3,804"
Pyry,"3,795"
Heimo,"3,793"
John,"3,786"
Hans,"3,781"
Axel,"3,740"
Frans,"3,721"
Rami,"3,689"
Jonne,"3,678"
Voitto,"3,672"
Pietari,"3,642"
Jeremias,"3,602"
Viktor,"3,588"
Miska,"3,576"
Oscar,"3,566"
Gabriel,"3,551"
Arvi,"3,546"
Hannes,"3,526"
Pellervo,"3,452"
Sampo,"3,449"
Jami,"3,381"
Paul,"3,377"
Noel,"3,374"
Luka,"3,365"
Olof,"3,352"
Juha-Pekka,"3,338"
Harry,"3,282"
Stefan,"3,262"
Teppo,"3,253"
Aku,"3,221"
Leif,"3,219"
Nico,"3,219"
Göran,"3,200"
Luukas,"3,194"
Edvin,"3,138"
Nils,"3,115"
Nooa,"3,103"
Aleksander,"3,093"
Jukka-Pekka,"3,046"
Miko,"3,027"
Jasper,"2,987"
Tony,"2,969"
Tomas,"2,960"
Perttu,"2,927"
Arvid,"2,905"
Anselmi,"2,888"
Päiviö,"2,884"
Robin,"2,842"
Alfred,"2,833"
Santtu,"2,826"
Lucas,"2,805"
Paavali,"2,771"
Aarno,"2,762"
Jonas,"2,757"
Eliel,"2,743"
Veli-Pekka,"2,735"
Krister,"2,715"
Nestori,"2,713"
Aarni,"2,704"
Richard,"2,694"
Nuutti,"2,654"
Ali,"2,649"
Untamo,"2,596"
Eljas,"2,565"
Christer,"2,548"
Peetu,"2,543"
Panu,"2,536"
Sisu,"2,530"
Lukas,"2,499"
Marcus,"2,476"
Magnus,"2,472"
Mathias,"2,472"
Jonathan,"2,470"
Mohamed,"2,469"
Klaus,"2,463"
Urpo,"2,459"
Eevert,"2,458"
Terho,"2,452"
Viljam,"2,447"
Eerikki,"2,440"
Patrick,"2,427"
Waltteri,"2,415"
Lennart,"2,402"
Sven,"2,398"
Jesper,"2,395"
Juha-Matti,"2,339"
Aapeli,"2,298"
Olli-Pekka,"2,286"
Kenneth,"2,280"
Ukko,"2,222"
Bengt,"2,219"
Ossian,"2,217"
Mattias,"2,216"
Kaleva,"2,203"
Evert,"2,189"
Kaapo,"2,186"
Justus,"2,179"
Reima,"2,177"
Stig,"2,130"
Tino,"2,127"
Alarik,"2,117"
Teijo,"2,107"
Antton,"2,063"
Mats,"2,054"
Rolf,"2,031"
Felix,"2,012"
Einar,"2,002"
Lari,"1,981"
Luca,"1,977"
David,"1,968"
Eric,"1,963"
Tobias,"1,959"
Petter,"1,929"
Taavi,"1,920"
Tommy,"1,911"
Elmo,"1,908"
Anttoni,"1,904"
Jooa,"1,901"
Manu,"1,889"
Asser,"1,880"
Kurt,"1,879"
Per,"1,836"
Taavetti,"1,833"
Leonard,"1,817"
Karri,"1,794"
Håkan,"1,784"
Aleksis,"1,781"
Eemi,"1,766"
Tenho,"1,734"
Ari-Pekka,"1,727"
Verner,"1,718"
Simon,"1,715"
Valter,"1,712"
Björn,"1,697"
Adam,"1,694"
Erno,"1,694"
Roger,"1,688"
Gustaf,"1,681"
Bo,"1,673"
Touko,"1,668"
Ahmed,"1,653"
Jonatan,"1,651"
Åke,"1,649"
Ralf,"1,637"
Helge,"1,631"
Jori,"1,622"
Valentin,"1,622"
Kaarle,"1,612"
Vertti,"1,601"
Jalo,"1,592"
Jerry,"1,591"
Milo,"1,586"
Victor,"1,574"
Nikolas,"1,571"
Kimi,"1,556"
Casper,"1,525"
Heino,"1,523"
Sulevi,"1,523"
Aslak,"1,516"
Kosti,"1,506"
Christoffer,"1,501"
Edward,"1,495"
Dan,"1,490"
Albin,"1,468"
Bernhard,"1,449"
Timi,"1,448"
Tuure,"1,448"
Elis,"1,446"
Linus,"1,416"
Birger,"1,412"
Rauli,"1,410"
Jan-Erik,"1,402"
Raine,"1,378"
Mico,"1,367"
Salomon,"1,367"
Kevin,"1,354"
Jiri,"1,346"
Iikka,"1,331"
Ulf,"1,325"
Arthur,"1,319"
Jari-Pekka,"1,307"
Alvari,"1,304"
Georg,"1,294"
Harald,"1,292"
Börje,"1,283"
Petrus,"1,274"
Ilmo,"1,268"
Bror,"1,254"
Ingmar,"1,253"
Taito,"1,252"
Waldemar,"1,247"
Auvo,"1,246"
Nicolas,"1,243"
Leon,"1,241"
Kristoffer,"1,238"
Isak,"1,220"
Jarl,"1,212"
Elia,"1,208"
Noah,"1,201"
Alf,"1,188"
Väinämö,"1,182"
Walter,"1,172"
Arne,"1,169"
Sampsa,"1,156"
Iisak,"1,155"
James,"1,152"
Filip,"1,147"
Kasimir,"1,144"
Vilhelmi,"1,143"
Christopher,"1,131"
Rudolf,"1,130"
Adrian,"1,118"
Jens,"1,113"
Vincent,"1,113"
Niki,"1,112"
Valto,"1,108"
Visa,"1,107"
Tiitus,"1,077"
Uljas,"1,073"
Nicholas,"1,068"
Altti,"1,056"
Erkka,"1,054"
Kjell,"1,030"
Emanuel,"1,029"
Niclas,"1,025"
Adolf,"1,023"
Iivo,"1,009"
Joose,"1,009"
André,"1,003"
Ben,996
Ville-Veikko,991
Paulus,989
Jose,979
Eevertti,975
Elliot,975
Torsten,967
Teo,961
Marco,959
Okko,959
Tor,958
Aksel,957
Helmer,955
Isto,955
Konstantin,944
Ragnar,939
Artur,936
Jooseppi,927
Simeon,927
Hjalmar,926
Sasu,921
Antonio,918
Viking,917
Bertel,912
Wiljami,912
Holger,910
Jakob,905
Oula,904
Aatto,902
Aamos,901
Jon,897
Ole,897
Liam,893
Cristian,891
Maximilian,883
Elmer,876
Benjam,874
Niila,872
Johnny,861
Andrei,860
Jimmy,860
Roy,859
Torsti,854
Manuel,853
Noa,852
Ivar,850
Usko,834
Bjarne,833
Sakarias,833
Asseri,831
Venni,823
Miikkael,822
Aron,818
Mio,818
Valo,807
Vesa-Matti,796
Uuno,793
Hemmo,791
Leander,788
Amos,785
Anthony,782
Jussi-Pekka,781
Dennis,775
Yrjänä,773
Ilja,765
Ove,760
Alfons,755
Benjami,747
Omar,746
Valfrid,741
Olav,736
Teodor,736
Otava,734
Osvald,732
Romeo,731
Marius,730
Frank,725
Atso,724
Mark,721
Mauritz,721
Jim,713
Roland,708
Hassan,706
Antinpoika,704
Turo,704
Tim,702
Arimo,696
Miikael,696
Ibrahim,694
Jeremia,693
Valtter,687
Mohammed,684
Into,683
Rune,683
Kauno,682
Dimitri,679
Jonni,679
Kaspian,677
Jare,676
Rene,673
Gösta,667
Anselm,665
Boris,665
Ruben,663
Theo,663
Jörgen,655
Bruno,651
Ferdinand,648
Reko,643
Mohammad,641
Aleksei,635
Julian,635
Casimir,633
Joachim,631
Micael,622
Petja,620
Arno,618
Jesperi,612
Sam,612
Erland,609
Ernst,608
Immanuel,608
Philip,608
Runar,608
Eppu,605
Neo,603
Pekko,601
Abdi,600
Joosua,599
Werner,599
Guy,596
Raino,596
Ylermi,596
Herbert,594
Vladimir,593
Evald,590
Kaius,589
Bertil,585
Nestor,577
Sten,577
Charles,575
Jacob,575
Matinpoika,571
Fabian,567
Miki,566
Zacharias,566
Matts,563
Mirko,563
Pontus,562
Sameli,562
Dani,560
Abdullahi,556
Juhanpoika,556
Antto,555
Jasu,555
Yngve,552
Juri,551
Jean,549
Ivan,547
Tage,547
Toimi,546
Sylvester,543
Aleksandr,538
Vesa-Pekka,534
Ville-Pekka,533
Eugen,530
Nicklas,529
Theodor,521
Kent,519
Arnold,512
Sergei,508
Salomo,506
Arsi,503
Abdirahman,502
Reinhold,498
Jaro,496
Klas,495
Esaias,487
Ludvig,487
Torbjörn,486
Orvo,485
Osku,484
Mikonpoika,483
