Etunimi,Lukumäärä
Maria,"199,601"
Helena,"124,143"
Anneli,"121,930"
Johanna,"112,388"
Kaarina,"97,993"
Marjatta,"88,004"
Hannele,"86,386"
Kristiina,"75,113"
Emilia,"67,988"
Liisa,"67,978"
Elina,"64,343"
Sofia,"59,900"
Tuulikki,"58,846"
Maarit,"57,623"
Susanna,"56,851"
Annikki,"56,581"
Leena,"48,638"
Katariina,"47,963"
Anna,"46,412"
Marja,"44,506"
Sinikka,"43,460"
Inkeri,"41,378"
Riitta,"38,945"
Aino,"36,188"
Kyllikki,"35,730"
Anne,"35,031"
Tuula,"34,986"
Päivi,"33,731"
Orvokki,"32,490"
Ritva,"32,042"
Maija,"31,603"
Tellervo,"31,449"
Karoliina,"30,507"
Pauliina,"29,946"
Pirjo,"29,904"
Minna,"29,639"
Sari,"29,368"
Irmeli,"28,856"
Tiina,"27,571"
Eeva,"27,547"
Eveliina,"27,352"
Laura,"26,836"
Marika,"26,557"
Tarja,"26,184"
Elisabet,"26,179"
Pirkko,"25,273"
Satu,"25,041"
Mari,"24,415"
Hanna,"24,237"
Heidi,"23,835"
Anja,"23,809"
Seija,"23,675"
Marita,"23,554"
Annika,"23,455"
Sirpa,"23,264"
Jaana,"22,929"
Raija,"22,695"
Ilona,"22,650"
Irene,"22,645"
Sanna,"22,518"
Eila,"22,447"
Sisko,"22,381"
Anita,"22,233"
Amanda,"21,973"
Eija,"21,827"
Kirsi,"21,736"
Julia,"21,660"
Marianne,"21,549"
Merja,"20,938"
Katriina,"20,921"
Matilda,"20,373"
Arja,"20,023"
Elisabeth,"19,950"
Anni,"19,902"
Ulla,"19,893"
Tuulia,"19,729"
Marjaana,"19,661"
Kaisa,"19,656"
Paula,"19,558"
Marketta,"19,553"
Olivia,"19,467"
Aurora,"19,356"
Elisa,"19,145"
Linnea,"19,112"
Sirkka,"18,686"
Terttu,"18,605"
Helmi,"18,259"
Jenni,"18,021"
Katja,"17,082"
Iida,"17,080"
Emma,"16,826"
Heli,"16,561"
Mirjami,"16,349"
Nina,"15,940"
Kirsti,"15,714"
Hilkka,"15,508"
Mirja,"15,379"
Anniina,"15,238"
Maaria,"15,232"
Raili,"15,015"
Birgitta,"14,763"
Sara,"14,617"
Katri,"14,611"
Ida,"14,089"
Ella,"14,050"
Suvi,"13,949"
Kaija,"13,862"
Aleksandra,"13,710"
Riikka,"13,513"
Marjut,"13,491"
Anu,"13,451"
Alexandra,"13,090"
Tuija,"13,052"
Saara,"12,928"
Niina,"12,427"
Kerttu,"12,339"
Pia,"12,327"
Lea,"12,245"
Aila,"12,088"
Kristina,"11,949"
Noora,"11,795"
Irma,"11,785"
Marjo,"11,674"
Leila,"11,628"
Jenna,"11,576"
Tanja,"11,564"
Marja-Leena,"11,456"
Henna,"11,343"
Veera,"11,270"
Lotta,"11,187"
Aulikki,"11,061"
Irja,"11,060"
Kati,"11,056"
Margareta,"10,923"
Ellen,"10,882"
Hellevi,"10,505"
Marja-Liisa,"10,462"
Elsa,"10,453"
Elli,"10,396"
Alina,"10,259"
Maritta,"10,245"
Outi,"10,166"
Mirjam,"10,129"
Milla,"10,053"
Emmi,"9,962"
Taina,"9,828"
Mervi,"9,775"
Päivikki,"9,750"
Miia,"9,701"
Anna-Liisa,"9,624"
Venla,"9,573"
Erika,"9,540"
Helinä,"9,527"
Virpi,"9,489"
Siiri,"9,459"
Aada,"9,314"
Jonna,"9,242"
Sini,"9,240"
Vilhelmiina,"9,216"
Tiia,"8,993"
Sonja,"8,914"
Margit,"8,913"
Aune,"8,355"
Josefiina,"8,320"
Jasmin,"8,311"
Sanni,"8,282"
Vilma,"8,045"
Oona,"8,034"
Terhi,"7,953"
Mia,"7,909"
Alisa,"7,898"
Lilja,"7,897"
Linda,"7,768"
Mira,"7,705"
Roosa,"7,514"
Maire,"7,395"
Nea,"7,386"
Teija,"7,308"
Eliisa,"7,214"
Martta,"7,190"
Essi,"7,163"
Viivi,"7,082"
Carita,"7,006"
Piia,"6,948"
Esteri,"6,939"
Christina,"6,936"
Iiris,"6,817"
Hillevi,"6,794"
Airi,"6,739"
Taru,"6,685"
Marjukka,"6,636"
Krista,"6,586"
Petra,"6,575"
Iina,"6,540"
Tuuli,"6,527"
Viola,"6,499"
Juulia,"6,464"
Marie,"6,460"
Annukka,"6,400"
Vuokko,"6,336"
Aili,"6,270"
Eva,"6,270"
Silja,"6,256"
Mikaela,"6,248"
Isabella,"6,133"
Inka,"6,130"
Enni,"6,061"
Henriikka,"5,986"
Jenny,"5,974"
Salla,"5,917"
Helvi,"5,816"
Susanne,"5,810"
Aliisa,"5,794"
Pinja,"5,767"
Milja,"5,743"
Riina,"5,739"
Erja,"5,736"
Camilla,"5,702"
Katarina,"5,587"
Onerva,"5,586"
Sylvia,"5,485"
Reetta,"5,447"
Ronja,"5,415"
Lyydia,"5,280"
Elena,"5,233"
Alice,"5,186"
Eevi,"5,162"
Eerika,"5,135"
Elise,"5,076"
Jessica,"5,032"
Ester,"4,956"
Maija-Liisa,"4,921"
Anitta,"4,863"
Meri,"4,847"
Soile,"4,808"
Elvi,"4,807"
Salme,"4,764"
Minttu,"4,757"
Cecilia,"4,754"
Toini,"4,750"
Amalia,"4,663"
Meeri,"4,658"
Asta,"4,613"
Saana,"4,597"
Hilja,"4,437"
Talvikki,"4,436"
Nelli,"4,320"
Maaret,"4,313"
Pihla,"4,295"
Aira,"4,290"
Lahja,"4,288"
Auli,"4,272"
Laila,"4,258"
Irina,"4,198"
Minea,"4,185"
Sirkka-Liisa,"4,174"
Lumi,"4,152"
Ada,"4,141"
Rauha,"4,108"
Janina,"4,097"
Taimi,"4,097"
Maiju,"4,091"
Kaisu,"4,058"
Armi,"4,037"
Elviira,"4,015"
Heleena,"3,980"
Saija,"3,973"
Alma,"3,966"
Marina,"3,966"
Olga,"3,955"
Marianna,"3,892"
Heini,"3,861"
Adele,"3,851"
Charlotta,"3,841"
Rauni,"3,831"
Eira,"3,778"
Nella,"3,770"
Anette,"3,738"
Hilma,"3,652"
Sylvi,"3,602"
Karin,"3,597"
Hilla,"3,562"
Sirkku,"3,560"
Matleena,"3,487"
Hilda,"3,475"
Josefina,"3,462"
Neea,"3,461"
Ingeborg,"3,373"
Aava,"3,360"
Joanna,"3,347"
Wilhelmiina,"3,338"
Senja,"3,280"
Jemina,"3,266"
Oili,"3,256"
Anna-Maija,"3,248"
Iris,"3,233"
Rosa,"3,224"
Eeva-Liisa,"3,223"
Vappu,"3,219"
Mirva,"3,204"
Birgit,"3,178"
Tytti,"3,164"
Peppi,"3,160"
Victoria,"3,104"
Vieno,"3,093"
Saimi,"3,088"
Isla,"3,083"
Mila,"3,083"
Helmiina,"3,077"
Saga,"3,053"
Eliina,"3,037"
Janika,"3,028"
Alli,"2,965"
Sanelma,"2,956"
Monica,"2,945"
Loviisa,"2,941"
Soili,"2,938"
Maila,"2,922"
Tyyne,"2,877"
Natalia,"2,856"
Fanny,"2,844"
Linnéa,"2,839"
Janette,"2,838"
Astrid,"2,834"
Annina,"2,819"
Jutta,"2,802"
Anelma,"2,683"
Aini,"2,640"
Teresa,"2,616"
Tea,"2,609"
Kiia,"2,606"
Anne-Mari,"2,602"
Stella,"2,587"
Inari,"2,585"
Janita,"2,584"
Netta,"2,577"
Sandra,"2,569"
Fanni,"2,564"
Vilja,"2,549"
Piritta,"2,540"
Ingrid,"2,524"
Regina,"2,493"
Karita,"2,489"
Mirka,"2,481"
Vanessa,"2,475"
Edith,"2,471"
Raakel,"2,449"
Helka,"2,437"
Mona,"2,429"
Selma,"2,411"
Daniela,"2,402"
Inga,"2,397"
Nora,"2,394"
Elma,"2,381"
Lydia,"2,345"
Senni,"2,319"
Ulla-Maija,"2,319"
Ulrika,"2,317"
Virve,"2,303"
Anna-Maria,"2,298"
Jade,"2,276"
Eine,"2,271"
Louise,"2,270"
Saila,"2,259"
Isabel,"2,224"
Aija,"2,223"
Hertta,"2,223"
Lempi,"2,219"
Lilli,"2,205"
Unelma,"2,205"
Margaretha,"2,201"
Mimosa,"2,198"
Gunilla,"2,197"
Melissa,"2,190"
Annele,"2,187"
Anastasia,"2,180"
