Sukunimi,Nimenhaltijoita yhteensä
Korhonen,"22,338"
Virtanen,"21,767"
Mäkinen,"19,997"
Nieminen,"19,825"
Mäkelä,"18,887"
Hämäläinen,"18,168"
Laine,"17,823"
Heikkinen,"17,291"
Koskinen,"16,973"
Järvinen,"16,001"
Lehtonen,"15,762"
Lehtinen,"14,872"
Saarinen,"14,645"
Salminen,"14,418"
Heinonen,"14,256"
Niemi,"14,151"
Heikkilä,"14,093"
Kinnunen,"13,872"
Salonen,"13,657"
Turunen,"13,180"
Salo,"12,879"
Laitinen,"12,577"
Tuominen,"12,339"
Rantanen,"12,274"
Karjalainen,"12,273"
Jokinen,"11,989"
Mattila,"11,860"
Savolainen,"11,037"
Lahtinen,"10,954"
Ahonen,"10,814"
Ojala,"10,619"
Leppänen,"10,565"
Kallio,"9,960"
Hiltunen,"9,911"
Väisänen,"9,909"
Leinonen,"9,887"
Miettinen,"9,843"
Pitkänen,"9,775"
Aaltonen,"9,725"
Manninen,"9,682"
Koivisto,"9,535"
Hakala,"9,493"
Anttila,"9,477"
Laaksonen,"9,093"
Hirvonen,"8,994"
Räsänen,"8,970"
Lehto,"8,918"
Laakso,"8,787"
Toivonen,"8,720"
Rantala,"8,638"
Mustonen,"8,616"
Aalto,"8,541"
Nurmi,"8,304"
Niemelä,"8,293"
Peltonen,"8,293"
Moilanen,"8,257"
Seppälä,"8,130"
Pulkkinen,"8,123"
Hänninen,"8,078"
Saari,"7,894"
Lappalainen,"7,886"
Kettunen,"7,879"
Partanen,"7,849"
Kemppainen,"7,681"
Kauppinen,"7,673"
Koskela,"7,643"
Seppänen,"7,593"
Ahola,"7,548"
Salmi,"7,543"
Lahti,"7,537"
Huttunen,"7,347"
Ikonen,"7,278"
Aho,"7,235"
Suominen,"7,234"
Kärkkäinen,"7,181"
Pesonen,"7,127"
Halonen,"7,093"
Nyman,"7,001"
Koponen,"6,946"
Mikkonen,"6,934"
Peltola,"6,912"
Johansson,"6,911"
Oksanen,"6,837"
Niskanen,"6,823"
Lindholm,"6,819"
Vainio,"6,793"
Heiskanen,"6,741"
Mikkola,"6,676"
Koski,"6,569"
Honkanen,"6,563"
Immonen,"6,562"
Nurminen,"6,467"
Vuorinen,"6,444"
Harju,"6,408"
Kokkonen,"6,331"
Määttä,"6,324"
Rissanen,"6,263"
Karppinen,"6,245"
Mäki,"6,159"
Laukkanen,"6,052"
Heino,"6,029"
Rajala,"6,015"
Juntunen,"5,996"
Jääskeläinen,"5,929"
Rautiainen,"5,911"
Parviainen,"5,896"
Kangas,"5,892"
Keränen,"5,871"
Hartikainen,"5,832"
Paananen,"5,775"
Karlsson,"5,705"
Leino,"5,700"
Mäenpää,"5,660"
Lindström,"5,609"
Ruotsalainen,"5,595"
Martikainen,"5,563"
Hyvärinen,"5,507"
Hakkarainen,"5,490"
Uusitalo,"5,472"
Kokko,"5,450"
Laurila,"5,426"
Tikkanen,"5,396"
Toivanen,"5,371"
Nevalainen,"5,347"
Viitanen,"5,344"
Salmela,"5,230"
Leskinen,"5,179"
Makkonen,"5,173"
Nykänen,"5,171"
Holopainen,"5,086"
Häkkinen,"5,071"
Kuusisto,"5,057"
Hietala,"5,004"
Tamminen,"4,964"
Andersson,"4,954"
Ranta,"4,948"
Härkönen,"4,940"
Korpela,"4,940"
Eriksson,"4,937"
Kukkonen,"4,891"
Hyvönen,"4,870"
Karhu,"4,835"
Karvonen,"4,811"
Jaakkola,"4,810"
Pasanen,"4,796"
Tiainen,"4,771"
Jokela,"4,766"
Väänänen,"4,690"
Saarela,"4,663"
Kosonen,"4,650"
Sillanpää,"4,602"
Malinen,"4,571"
Rautio,"4,568"
Kujala,"4,555"
Virta,"4,537"
Lindroos,"4,483"
Timonen,"4,471"
Autio,"4,460"
Kivelä,"4,436"
Lindqvist,"4,428"
Valtonen,"4,368"
Kolehmainen,"4,343"
Hokkanen,"4,340"
Jussila,"4,336"
Lampinen,"4,336"
Räisänen,"4,321"
Rinne,"4,312"
Tolonen,"4,283"
Nissinen,"4,253"
Huhtala,"4,234"
Nousiainen,"4,217"
Eskelinen,"4,149"
Vartiainen,"4,128"
Koivula,"4,109"
Laakkonen,"4,092"
Asikainen,"4,065"
Lindberg,"4,047"
Lepistö,"4,044"
Koistinen,"4,016"
Kuusela,"3,997"
Luoma,"3,933"
Liimatainen,"3,923"
Pelkonen,"3,916"
Kyllönen,"3,897"
Hautala,"3,884"
Kulmala,"3,882"
Tolvanen,"3,854"
Tuovinen,"3,839"
Helenius,"3,808"
Pietilä,"3,807"
Koivunen,"3,785"
Penttinen,"3,780"
Viljanen,"3,776"
Huotari,"3,764"
Voutilainen,"3,756"
Riikonen,"3,739"
Pennanen,"3,735"
Hyttinen,"3,733"
Marttila,"3,720"
Hietanen,"3,719"
Luukkonen,"3,718"
Suhonen,"3,708"
Pakarinen,"3,680"
Repo,"3,679"
Järvenpää,"3,659"
Takala,"3,655"
Nuutinen,"3,649"
Haavisto,"3,648"
Ketola,"3,642"
Kumpulainen,"3,635"
Karttunen,"3,630"
Lindgren,"3,597"
Ronkainen,"3,589"
Eronen,"3,565"
Eklund,"3,560"
Eskola,"3,558"
Haapala,"3,540"
Myllymäki,"3,539"
Lehtimäki,"3,530"
Auvinen,"3,509"
Penttilä,"3,508"
Huovinen,"3,494"
Kainulainen,"3,493"
Saastamoinen,"3,491"
Paavola,"3,447"
Vuori,"3,445"
Liukkonen,"3,436"
Helin,"3,413"
Juvonen,"3,412"
Komulainen,"3,379"
Hautamäki,"3,352"
Viitala,"3,335"
Keskinen,"3,325"
Kivimäki,"3,312"
Markkanen,"3,302"
Taskinen,"3,292"
Ollikainen,"3,280"
Ollila,"3,279"
Silvennoinen,"3,266"
Tuomi,"3,259"
Lähteenmäki,"3,251"
Rintala,"3,247"
Suomalainen,"3,245"
Välimäki,"3,227"
Perälä,"3,210"
Sipilä,"3,208"
Kähkönen,"3,206"
Gustafsson,"3,175"
Kuosmanen,"3,169"
Halme,"3,165"
Lehtola,"3,147"
Blomqvist,"3,139"
Nylund,"3,134"
Kortelainen,"3,123"
Hannula,"3,114"
Turpeinen,"3,114"
Kantola,"3,104"
Tanskanen,"3,101"
Matilainen,"3,083"
Hytönen,"3,068"
Lindfors,"3,061"
Meriläinen,"3,061"
Matikainen,"3,025"
Jalonen,"2,994"
Helminen,"2,966"
Holm,"2,952"
Jansson,"2,950"
Kivistö,"2,936"
Ylitalo,"2,929"
Alatalo,"2,916"
Kanerva,"2,913"
Rytkönen,"2,911"
Tervo,"2,905"
Puhakka,"2,901"
Varis,"2,893"
Soininen,"2,880"
Henriksson,"2,874"
Väyrynen,"2,865"
Erkkilä,"2,860"
Kiviniemi,"2,854"
Kurki,"2,842"
Tarvainen,"2,836"
Pajunen,"2,823"
Pääkkönen,"2,820"
Taipale,"2,819"
Karvinen,"2,817"
Rauhala,"2,817"
Ojanen,"2,799"
Nyberg,"2,789"
Puustinen,"2,783"
Laiho,"2,780"
Berg,"2,771"
Kilpeläinen,"2,768"
Mäntylä,"2,768"
Oinonen,"2,750"
Kuisma,"2,726"
Lassila,"2,725"
Mattsson,"2,722"
Kankaanpää,"2,721"
Peltoniemi,"2,721"
Lehikoinen,"2,714"
Piirainen,"2,702"
Tikka,"2,702"
Backman,"2,680"
Räty,"2,675"
Haapanen,"2,671"
Pirinen,"2,670"
Jaatinen,"2,649"
Kivinen,"2,643"
Niiranen,"2,637"
Lipponen,"2,614"
Pohjola,"2,610"
Parkkinen,"2,609"
Jauhiainen,"2,606"
Haverinen,"2,605"
Korpi,"2,604"
Kärki,"2,600"
Moisio,"2,583"
Kauppila,"2,574"
Kaikkonen,"2,557"
Valkonen,"2,552"
Keinänen,"2,550"
Venäläinen,"2,542"
Jäntti,"2,541"
Vesterinen,"2,536"
Ylönen,"2,530"
Ruuskanen,"2,526"
Raatikainen,"2,515"
Haataja,"2,509"
Mononen,"2,493"
Sainio,"2,483"
Rossi,"2,478"
Holmberg,"2,474"
Anttonen,"2,453"
Järvelä,"2,449"
Syrjälä,"2,443"
Nikula,"2,440"
Kovanen,"2,424"
Holmström,"2,417"
Tirkkonen,"2,410"
Pekkala,"2,392"
Ahokas,"2,386"
Pehkonen,"2,375"
Huuskonen,"2,366"
Lilja,"2,362"
Karhunen,"2,353"
Palomäki,"2,353"
Männistö,"2,340"
Vuorela,"2,339"
Latvala,"2,331"
Kuronen,"2,328"
Sallinen,"2,325"
Oikarinen,"2,319"
Valkama,"2,319"
Seppä,"2,318"
Konttinen,"2,314"
Tiihonen,"2,309"
Elo,"2,305"
Kämäräinen,"2,301"
Muhonen,"2,299"
Sirén,"2,297"
Linna,"2,294"
Alanko,"2,286"
Sjöblom,"2,273"
Alanen,"2,267"
Salomaa,"2,253"
Ryynänen,"2,252"
Reinikainen,"2,251"
Simola,"2,240"
Riihimäki,"2,239"
Sirviö,"2,238"
Soini,"2,230"
Kiuru,"2,222"
Eloranta,"2,219"
Rönkkö,"2,219"
Pekkarinen,"2,216"
Keskitalo,"2,215"
Lammi,"2,203"
Forsman,"2,199"
Marttinen,"2,197"
Kari,"2,190"
Airaksinen,"2,184"
Nevala,"2,180"
Haapaniemi,"2,173"
Pöllänen,"2,173"
Järvi,"2,160"
Holappa,"2,146"
Aro,"2,144"
Uotila,"2,140"
Antikainen,"2,138"
Simonen,"2,131"
Ylinen,"2,129"
Grönroos,"2,128"
Puranen,"2,121"
Sutinen,"2,121"
Ihalainen,"2,117"
Lankinen,"2,114"
Sihvonen,"2,107"
Snellman,"2,094"
Tähtinen,"2,093"
Kauppi,"2,084"
Aarnio,"2,079"
Kalliokoski,"2,078"
Toivola,"2,073"
Paavilainen,"2,067"
Joensuu,"2,065"
Kauhanen,"2,053"
Lehti,"2,051"
Virolainen,"2,046"
Kiiskinen,"2,034"
Sundström,"2,033"
Sivonen,"2,020"
Törmänen,"2,006"
Sormunen,"2,004"
Luoto,"2,003"
Luostarinen,"2,002"
Eerola,"2,000"
Hassinen,"1,998"
Koivuniemi,"1,993"
Friman,"1,992"
Westerlund,"1,984"
Ruohonen,"1,979"
Suvanto,"1,979"
Kotilainen,"1,948"
Nordström,"1,948"
Tuomisto,"1,939"
Nenonen,"1,934"
Ruuska,"1,919"
Kiiski,"1,906"
Tervonen,"1,904"
Koljonen,"1,902"
Sinkkonen,"1,901"
Sorsa,"1,895"
Laamanen,"1,893"
Pietikäinen,"1,892"
Nygård,"1,890"
Rajamäki,"1,887"
Pikkarainen,"1,885"
Björklund,"1,884"
Antila,"1,881"
Piiroinen,"1,878"
Sinisalo,"1,878"
Lämsä,"1,859"
Suomela,"1,857"
Tenhunen,"1,856"
Ukkonen,"1,853"
Kuokkanen,"1,846"
Ekman,"1,845"
Siitonen,"1,845"
Forsström,"1,843"
Nyström,"1,837"
Laitila,"1,832"
Vuorio,"1,829"
Kekkonen,"1,828"
Paajanen,"1,825"
Suomi,"1,824"
Huusko,"1,821"
Leppälä,"1,818"
Lind,"1,817"
Neuvonen,"1,810"
Alho,"1,805"
Bergman,"1,803"
Junttila,"1,801"
Vepsäläinen,"1,801"
Jylhä,"1,796"
Vanhanen,"1,796"
Lyytikäinen,"1,792"
Saarelainen,"1,792"
Kujanpää,"1,790"
Arola,"1,789"
Mäkitalo,"1,785"
Vainionpää,"1,781"
Pöyhönen,"1,779"
Suutari,"1,777"
Jantunen,"1,776"
Tahvanainen,"1,776"
Sandberg,"1,775"
Hyytiäinen,"1,772"
Lempinen,"1,770"
Wikström,"1,765"
Nyholm,"1,755"
Kontio,"1,753"
Hakanen,"1,752"
Tuomainen,"1,752"
Hynninen,"1,750"
Kosunen,"1,749"
Tapio,"1,749"
Helander,"1,748"
Närhi,"1,748"
Honkala,"1,747"
Pakkanen,"1,742"
Inkinen,"1,735"
Hurme,"1,732"
Kääriäinen,"1,724"
Minkkinen,"1,721"
Ekholm,"1,719"
Kaartinen,"1,717"
Saukkonen,"1,717"
Palonen,"1,706"
Tauriainen,"1,699"
Rintamäki,"1,688"
Pirhonen,"1,687"
Piironen,"1,683"
Nummela,"1,682"
Pyykkö,"1,677"
Kautto,"1,673"
Puttonen,"1,673"
Lukkarinen,"1,670"
Remes,"1,666"
Söderlund,"1,665"
Nurmela,"1,656"
Määttänen,"1,653"
Itkonen,"1,652"
Romppanen,"1,650"
Halttunen,"1,642"
Tukiainen,"1,640"
Selin,"1,639"
Grönlund,"1,637"
Harjula,"1,632"
Tiilikainen,"1,632"
Koivu,"1,631"
Nikkanen,"1,628"
Tammi,"1,625"
Vanhala,"1,619"
Kananen,"1,618"
Tossavainen,"1,612"
Santala,"1,611"
Pekkanen,"1,609"
Saukko,"1,607"
Välimaa,"1,607"
Pyykkönen,"1,602"
Mäkilä,"1,601"
Kalliomäki,"1,600"
Myllylä,"1,599"
Setälä,"1,598"
